링크ID,시작노드ID,종료노드ID,시작노드명,종료노드명,도로명,지도거리,표준링크수,기본도로여부,권역코드,권역코드명,소통등급구분코드,소통등급구분코드명,소통제공여부
1150010000,1150014600,1150013200,서울강서대학교입구,화곡역,화곡로,699.0,2,Y,115,강서구,20,시내,Y
1150010100,1150013200,1150014600,화곡역,서울강서대학교입구,화곡로,707.0,2,Y,115,강서구,20,시내,Y
1150010300,1150013200,1150015500,화곡역,우장산역,강서로,813.0,3,Y,115,강서구,20,시내,Y
1150010400,1150023900,1150012500,등촌동현대아파트,신월초교입구,까치산로,2046.0,6,Y,115,강서구,20,시내,Y
1150011000,1150020900,1150014600,우장공원입구교차로,서울강서대학교입구,화곡로,883.0,2,Y,115,강서구,20,시내,Y
1150011200,1150023600,1150015500,우장산공원입구,우장산역,강서로,770.0,2,Y,115,강서구,20,시내,Y
1150011400,1150000500,1150000200,염창IC,안양천로_염창IC,안양천로,621.0,3,Y,115,강서구,20,시내,Y
1150011500,1150000200,1150026000,안양천로_염창IC,염창IC,안양천로,886.0,3,Y,115,강서구,20,시내,Y
1150011600,1150023600,1150020900,우장산공원입구,우장공원입구교차로,우장산로,1330.0,5,Y,115,강서구,20,시내,Y
1150011800,1150023500,1150019200,공항동천주교회앞,외발산사거리,남부순환로,502.0,3,Y,115,강서구,20,시내,Y
1150012000,1150026800,1150019000,증미역,등촌사거리,공항대로59길,657.0,2,Y,115,강서구,20,시내,Y
1150012200,1150025500,1150020900,강서구청입구,우장공원입구교차로,화곡로,340.0,4,Y,115,강서구,20,시내,Y
1150012300,1150020900,1150025500,우장공원입구교차로,강서구청입구,화곡로,340.0,4,Y,115,강서구,20,시내,Y
1150012400,1150029000,1150023600,발산역,우장산공원입구,강서로,429.0,2,Y,115,강서구,20,시내,Y
1150012600,1150033200,1150023500,김포공항입구,공항동천주교회앞,남부순환로,924.0,2,Y,115,강서구,20,시내,Y
1150012700,1150023500,1150033200,공항동천주교회앞,김포공항입구,남부순환로,918.0,2,Y,115,강서구,20,시내,Y
1000017200,1000005200,1000024400,효자동삼거리,신교동교차로,효자로,298.0,2,Y,100,종로구,20,시내,Y
1000017400,1000024200,1000005200,팔판동삼거리,효자동삼거리,청와대로,503.0,1,Y,100,종로구,20,시내,Y
1000017800,1000024000,1000025300,성균관대입구,혜화동로터리,창경궁로,356.0,2,Y,100,종로구,20,시내,Y
1090048001,1100086301,1090022601,도봉지하차도,도봉지하차도,동부간선도로,1526.0,1,Y,109,도봉구,20,시내,Y
1090047801,1090022601,1090022501,도봉지하차도,도봉지하차도,동부간선도로,1617.0,1,Y,109,도봉구,20,시내,Y
1090047701,1090022501,1100086201,도봉지하차도,도봉지하차도,동부간선도로,220.0,1,Y,109,도봉구,20,시내,Y
1100176701,1100086201,1100086101,도봉지하차도,초안산지하차도,동부간선도로,212.0,1,Y,110,노원구,20,시내,Y
1100176601,1100086101,1100086001,초안산지하차도,초안산지하차도,동부간선도로,538.0,1,Y,110,노원구,20,시내,Y
1100176501,1100086001,1100024500,초안산지하차도,월계1교교차로,동부간선도로,98.0,1,Y,110,노원구,20,시내,Y
1000017900,1000005500,1000024400,청운초등학교앞,신교동교차로,자하문로,138.0,2,Y,100,종로구,20,시내,Y
